out_step:3 start_step:4  |  acc:0.4210
out_step:3 start_step:5  |  acc:0.4276
out_step:3 start_step:6  |  acc:0.4324
out_step:3 start_step:7  |  acc:0.4276
out_step:3 start_step:8  |  acc:0.4257
out_step:3 start_step:9  |  acc:0.4324
out_step:3 start_step:10  |  acc:0.4305
out_step:4 start_step:5  |  acc:0.4695
out_step:4 start_step:6  |  acc:0.4752
out_step:4 start_step:7  |  acc:0.4714
out_step:4 start_step:8  |  acc:0.4724
out_step:4 start_step:9  |  acc:0.4733
out_step:4 start_step:10  |  acc:0.4714
out_step:4 start_step:11  |  acc:0.4667
out_step:5 start_step:6  |  acc:0.5057
out_step:5 start_step:7  |  acc:0.5048
out_step:5 start_step:8  |  acc:0.5105
out_step:5 start_step:9  |  acc:0.5057
out_step:5 start_step:10  |  acc:0.5105
out_step:5 start_step:11  |  acc:0.5086
out_step:5 start_step:12  |  acc:0.5124
out_step:6 start_step:7  |  acc:0.5495
out_step:6 start_step:8  |  acc:0.5638
out_step:6 start_step:9  |  acc:0.5610
out_step:6 start_step:10  |  acc:0.5505
out_step:6 start_step:11  |  acc:0.5552
out_step:6 start_step:12  |  acc:0.5600
out_step:6 start_step:13  |  acc:0.5629
out_step:7 start_step:8  |  acc:0.6571
out_step:7 start_step:9  |  acc:0.6781
out_step:7 start_step:10  |  acc:0.7048
out_step:7 start_step:11  |  acc:0.7133
out_step:7 start_step:12  |  acc:0.7190
out_step:7 start_step:13  |  acc:0.7248
out_step:7 start_step:14  |  acc:0.7257
out_step:8 start_step:9  |  acc:0.7038
out_step:8 start_step:10  |  acc:0.7152
out_step:8 start_step:11  |  acc:0.7343
out_step:8 start_step:12  |  acc:0.7419
out_step:8 start_step:13  |  acc:0.7400
out_step:8 start_step:14  |  acc:0.7486
out_step:8 start_step:15  |  acc:0.7524
out_step:9 start_step:10  |  acc:0.7400
out_step:9 start_step:11  |  acc:0.7533
out_step:9 start_step:12  |  acc:0.7657
out_step:9 start_step:13  |  acc:0.7743
out_step:9 start_step:14  |  acc:0.7762
out_step:9 start_step:15  |  acc:0.7810
out_step:9 start_step:16  |  acc:0.7905
out_step:10 start_step:11  |  acc:0.7667
out_step:10 start_step:12  |  acc:0.7752
out_step:10 start_step:13  |  acc:0.7905
out_step:10 start_step:14  |  acc:0.7933
out_step:10 start_step:15  |  acc:0.7905
out_step:10 start_step:16  |  acc:0.8000
out_step:10 start_step:17  |  acc:0.7990
out_step:11 start_step:12  |  acc:0.7857
out_step:11 start_step:13  |  acc:0.7971
out_step:11 start_step:14  |  acc:0.8048
out_step:11 start_step:15  |  acc:0.8067
out_step:11 start_step:16  |  acc:0.8181
out_step:11 start_step:17  |  acc:0.8190
out_step:11 start_step:18  |  acc:0.8114
out_step:12 start_step:13  |  acc:0.8076
