out_step:3 start_step:4  |  acc:0.2560
out_step:3 start_step:5  |  acc:0.2480
out_step:3 start_step:6  |  acc:0.2530
out_step:3 start_step:7  |  acc:0.2550
out_step:3 start_step:8  |  acc:0.2500
out_step:3 start_step:9  |  acc:0.2530
out_step:3 start_step:10  |  acc:0.2540
out_step:4 start_step:5  |  acc:0.2780
out_step:4 start_step:6  |  acc:0.2970
out_step:4 start_step:7  |  acc:0.2800
out_step:4 start_step:8  |  acc:0.2780
out_step:4 start_step:9  |  acc:0.2770
out_step:4 start_step:10  |  acc:0.2820
out_step:4 start_step:11  |  acc:0.2840
out_step:5 start_step:6  |  acc:0.3060
out_step:5 start_step:7  |  acc:0.3100
out_step:5 start_step:8  |  acc:0.3080
out_step:5 start_step:9  |  acc:0.3070
out_step:5 start_step:10  |  acc:0.3030
out_step:5 start_step:11  |  acc:0.3040
out_step:5 start_step:12  |  acc:0.3050
out_step:6 start_step:7  |  acc:0.3460
out_step:6 start_step:8  |  acc:0.3430
out_step:6 start_step:9  |  acc:0.3620
out_step:6 start_step:10  |  acc:0.3500
out_step:6 start_step:11  |  acc:0.3490
out_step:6 start_step:12  |  acc:0.3510
out_step:6 start_step:13  |  acc:0.3440
out_step:7 start_step:8  |  acc:0.4130
out_step:7 start_step:9  |  acc:0.4330
out_step:7 start_step:10  |  acc:0.4390
out_step:7 start_step:11  |  acc:0.4500
out_step:7 start_step:12  |  acc:0.4590
out_step:7 start_step:13  |  acc:0.4730
out_step:7 start_step:14  |  acc:0.4620
out_step:8 start_step:9  |  acc:0.4480
out_step:8 start_step:10  |  acc:0.4730
out_step:8 start_step:11  |  acc:0.4840
out_step:8 start_step:12  |  acc:0.4750
out_step:8 start_step:13  |  acc:0.4950
out_step:8 start_step:14  |  acc:0.4900
out_step:8 start_step:15  |  acc:0.4910
out_step:9 start_step:10  |  acc:0.4880
out_step:9 start_step:11  |  acc:0.4970
out_step:9 start_step:12  |  acc:0.5140
out_step:9 start_step:13  |  acc:0.5100
out_step:9 start_step:14  |  acc:0.5190
out_step:9 start_step:15  |  acc:0.5210
out_step:9 start_step:16  |  acc:0.5150
out_step:10 start_step:11  |  acc:0.5090
out_step:10 start_step:12  |  acc:0.5030
out_step:10 start_step:13  |  acc:0.5280
out_step:10 start_step:14  |  acc:0.5350
out_step:10 start_step:15  |  acc:0.5240
out_step:10 start_step:16  |  acc:0.5350
out_step:10 start_step:17  |  acc:0.5140
out_step:11 start_step:12  |  acc:0.5220
out_step:11 start_step:13  |  acc:0.5380
out_step:11 start_step:14  |  acc:0.5210
out_step:11 start_step:15  |  acc:0.5180
out_step:11 start_step:16  |  acc:0.5220
out_step:11 start_step:17  |  acc:0.5300
out_step:11 start_step:18  |  acc:0.5290
out_step:12 start_step:13  |  acc:0.5330
out_step:12 start_step:14  |  acc:0.5350
out_step:12 start_step:15  |  acc:0.5320
out_step:12 start_step:16  |  acc:0.5410
out_step:12 start_step:17  |  acc:0.5410
out_step:12 start_step:18  |  acc:0.5340
out_step:12 start_step:19  |  acc:0.5280
out_step:13 start_step:14  |  acc:0.5390
out_step:13 start_step:15  |  acc:0.5450
out_step:13 start_step:16  |  acc:0.5290
out_step:13 start_step:17  |  acc:0.5400
out_step:13 start_step:18  |  acc:0.5440
out_step:13 start_step:19  |  acc:0.5280
out_step:13 start_step:20  |  acc:0.5490
out_step:14 start_step:15  |  acc:0.5440
out_step:14 start_step:16  |  acc:0.5340
out_step:14 start_step:17  |  acc:0.5380
out_step:14 start_step:18  |  acc:0.5430
out_step:14 start_step:19  |  acc:0.5260
out_step:14 start_step:20  |  acc:0.5390
out_step:14 start_step:21  |  acc:0.5250
out_step:15 start_step:16  |  acc:0.5430
out_step:15 start_step:17  |  acc:0.5410
out_step:15 start_step:18  |  acc:0.5370
out_step:15 start_step:19  |  acc:0.5420
out_step:15 start_step:20  |  acc:0.5360
out_step:15 start_step:21  |  acc:0.5360
out_step:15 start_step:22  |  acc:0.5440
out_step:16 start_step:17  |  acc:0.5510
out_step:16 start_step:18  |  acc:0.5590
out_step:16 start_step:19  |  acc:0.5570
out_step:16 start_step:20  |  acc:0.5620
out_step:16 start_step:21  |  acc:0.5490
out_step:16 start_step:22  |  acc:0.5430
out_step:16 start_step:23  |  acc:0.5390
out_step:17 start_step:18  |  acc:0.5460
out_step:17 start_step:19  |  acc:0.5500
out_step:17 start_step:20  |  acc:0.5620
out_step:17 start_step:21  |  acc:0.5350
out_step:17 start_step:22  |  acc:0.5500
out_step:17 start_step:23  |  acc:0.5280
out_step:17 start_step:24  |  acc:0.5060
out_step:18 start_step:19  |  acc:0.5370
out_step:18 start_step:20  |  acc:0.5350
out_step:18 start_step:21  |  acc:0.5440
out_step:18 start_step:22  |  acc:0.5280
out_step:18 start_step:23  |  acc:0.5320
out_step:18 start_step:24  |  acc:0.5130
out_step:18 start_step:25  |  acc:0.5000
out_step:19 start_step:20  |  acc:0.5280
out_step:19 start_step:21  |  acc:0.5310
out_step:19 start_step:22  |  acc:0.5110
out_step:19 start_step:23  |  acc:0.5030
out_step:19 start_step:24  |  acc:0.4880
out_step:19 start_step:25  |  acc:0.4780
out_step:19 start_step:26  |  acc:0.4560
out_step:20 start_step:21  |  acc:0.5380
out_step:20 start_step:22  |  acc:0.5150
out_step:20 start_step:23  |  acc:0.4950
out_step:20 start_step:24  |  acc:0.4900
out_step:20 start_step:25  |  acc:0.4750
out_step:20 start_step:26  |  acc:0.4570
